,Abe Fortas,Anthony M. Kennedy,Antonin Scalia,Arthur J. Goldberg,Brett M. Kavanaugh,Byron R. White,Charles E. Whittaker,Clarence Thomas,David H. Souter,Earl Warren,Elena Kagan,Felix Frankfurter,Harold Burton,Harry A. Blackmun,Hugo L. Black,John M. Harlan II,John Paul Stevens,Neil Gorsuch,Potter Stewart,Ruth Bader Ginsburg,Sandra Day O'Connor,Sherman Minton,Sonia Sotomayor,Stanley Reed,Stephen G. Breyer,Thurgood Marshall,Tom C. Clark,Warren E. Burger,William H. Rehnquist,William O. Douglas
1958-01-15,0,0,0,0,0,0,2428,0,0,1377,0,9816,381,0,127,0,0,0,0,0,0,0,0,0,0,0,72,0,0,235
1958-01-16,0,0,0,0,0,0,842,0,0,5505,0,9151,101,0,1750,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
1958-01-27,0,0,0,0,0,0,1211,0,0,223,0,3594,388,0,2548,0,0,0,0,0,0,0,0,10,0,0,319,0,0,42
1958-01-28,0,0,0,0,0,0,504,0,0,1313,0,8075,0,0,138,0,0,0,0,0,0,0,0,0,0,0,51,0,0,172
1958-01-29,0,0,0,0,0,0,0,0,0,2806,0,8787,392,0,2466,0,0,0,0,0,0,0,0,0,0,0,422,0,0,96
1958-01-30,0,0,0,0,0,0,1210,0,0,4343,0,7362,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1194,0,0,235
1958-03-03,0,0,0,0,0,0,1182,0,0,6994,0,9962,175,0,8774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
1958-03-04,0,0,0,0,0,10,33,0,0,204,0,1917,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,65,0,0,43
1958-03-05,0,0,0,0,0,0,739,0,0,1170,0,7567,226,0,4583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306
1958-03-06,0,0,0,0,0,0,2239,0,0,356,0,1024,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
1958-03-10,0,0,0,0,0,0,3696,0,0,3144,0,8903,594,0,3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086
1958-03-11,0,0,0,0,0,0,1152,0,0,276,0,2182,0,0,545,0,0,0,0,0,0,0,0,0,0,0,985,0,0,31
1958-03-12,0,0,0,0,0,0,390,0,0,2130,0,3492,0,0,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1958-03-13,0,0,0,0,0,0,265,0,0,925,0,1324,0,0,145,0,0,0,0,0,0,0,0,0,0,0,180,0,0,137
1958-04-01,0,0,0,0,0,0,117,0,0,295,0,6177,8,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
1958-04-02,0,0,0,0,0,0,315,0,0,1796,0,3152,0,0,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1958-04-03,0,0,0,0,0,0,426,0,0,164,0,13182,98,0,1858,0,0,0,0,0,0,0,0,0,0,0,302,0,0,1240
1958-04-07,0,0,0,0,0,0,719,0,0,174,0,6832,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,284,0,0,166
